date,headline,source,sentiment
2020-09-18 07:00:00+00:00,Why are Bharti Airtel shares underperforming?,Capitalmind,-0.8962365388870239
2021-01-21 08:00:00+00:00,"Stock Market at Record High: Sensex touched 50,000 for the first time, Nifty also crosses 14,700",Punekar News,0.7056319173425436
2022-12-06 08:00:00+00:00,10 Best Companies to Invest in India for Beginners,Yahoo Finance,0.17755906749516726
2022-07-11 15:02:00+00:00,Earnings jitters,Upstox,-0.8082843702286482
2022-08-19 03:51:00+00:00,Close call,Upstox,-0.005642019212245941
2023-01-09 08:00:00+00:00,Airtel share price jumps 3%; brokerages see up to 30% upside,Zee Business,0.9159201942384243
2023-11-22 08:00:00+00:00,"Bharti Airtel kicks off process for Bharti Hexacom IPO, eyes Rs 20,000 crore valuation: Report",Business Today,0.017400439828634262
2023-08-03 07:00:00+00:00,"Bharti Airtel Q1 results: Net profit nearly flat at Rs 1,613 cr; ARPU rises to Rs 200",Business Today,0.5900849997997284
2024-06-10 07:00:00+00:00,Bharti Airtel enters $100 billion m-cap club; see the elite list,Upstox,0.19612277578562498
2024-03-06 08:00:00+00:00,Bharti Airtel shares rebound 58% from 52-week low; more upside ahead?,Business Today,0.7006511390209198
2024-02-05 08:00:00+00:00,"Bharti Airtel Q3 results today. What analysts say on Africa biz, ARPU & margin",Business Today,0.00529385544359684
2024-05-14 07:00:00+00:00,"Bharti Airtel Q4 Results Highlights: Net profit declines 31% YoY to ₹2,068.2 crore, dividend announced",Upstox,-0.9338921941816807
2024-06-27 07:00:00+00:00,Telecom operators have to pay GST on spectrum along with payment: CBIC,Business Today,0.00023637525737285614
2025-01-01 08:00:00+00:00,"Bharti Airtel shares: After 57% rally in 2024, can the telco stock continue winning run this year?",Business Today,0.9189037084579468
2024-08-05 07:00:00+00:00,"Bharti Airtel Q1 Results Highlights: Net profit rises 158% to ₹4,160 crore, revenue up 2.8%",Upstox,0.9260469991713762
2024-08-28 07:00:00+00:00,"Apple eyes bigger slice of India's streaming, music market with Airtel deal",CNBC,0.7009197771549225
2024-08-04 07:00:00+00:00,"Bharti Airtel Q1 Results: Date, Time, Where to Watch?",The Financial Express,-0.013853097334504128
2024-12-04 08:00:00+00:00,"Bharti Airtel, Vodafone Idea: What CLSA says on market share post tariff hikes",Business Today,0.13862826488912106
2024-07-10 07:00:00+00:00,India's Top Dividend Paying Shares: Discover the High-Yielding Stocks with the Best Returns,Equitypandit,0.22781842481344938
2024-08-22 07:00:00+00:00,Bharti Airtel shares rise after GST demand notice reduced to ₹194 crore from ₹604.6 crore,Upstox,0.7971418276429176
2024-10-30 07:00:00+00:00,"Bharti Airtel best-placed to benefit from rising ARPUs, say analysts; here are stock price targets",Business Today,0.14665810018777847
2024-08-21 07:00:00+00:00,"TRAI June data: Bharti Airtel, Reliance Jio adds more subscribers, Vodafone Idea, BSNL continues to loses users",Upstox,0.8806571252644062
2024-08-28 07:00:00+00:00,Indus Towers becomes subsidiary of Bharti Airtel post share buyback,Business Today,0.0012979917228221893
2024-12-05 08:00:00+00:00,"Market Wrap, December 5: SENSEX, NIFTY gain 1% led by buying in tech stocks; 237 stocks hit 52-week high on BSE",Upstox,0.9123829100281
2024-11-29 08:00:00+00:00,"Sensex, Nifty today: Why stock market jumped despite FPI outflow concerns",Business Today,0.7537254616618156
2024-12-13 08:00:00+00:00,"Stock Market Highlights: SENSEX, NIFTY make a strong comeback after falling over 1%, settle higher",Upstox,0.8519702851772308
2024-09-12 07:00:00+00:00,"Stock market: Why Sensex, Nifty surged today; what's ahead?",Business Today,0.10898484289646149
2024-12-15 08:00:00+00:00,Market holidays 2025: NSE releases trading holiday list; check it out,Upstox,-0.044995665550231934
2024-12-13 08:00:00+00:00,"Market Wrap, December 13: Dalal Street witnesses roller coaster ride; SENSEX, NIFTY end 1% higher, but market breadth in favour of bears",Upstox,0.8658147379755974
2024-09-09 07:00:00+00:00,"Airtel Finance launches Fixed Deposit, offers up to 9.1% interest",Business Today,0.23385806661099195
2024-11-13 08:00:00+00:00,"Market slide continues as NIFTY50 trades below 24,700, SENSEX falls over 400 points, broader markets see deeper cuts",Upstox,-0.9310171697288752
2025-03-12 07:00:00+00:00,Bharti Airtel shares rise 3% on partnership with SpaceX,Business Today,0.918472140096128
2025-02-18 08:00:00+00:00,"Bharti Airtel block deal: 5.1 crore shares worth ₹8,475 crore change hands; shares flat, check details",Upstox,-0.3816004004329443
2025-04-17 07:00:00+00:00,"Bharti Airtel share price hits record high; should you buy, sell or hold the stock ahead of Q4 result?",Mint,0.07340369187295437
2025-06-18 07:00:00+00:00,"Bharti Airtel Sets Deadline for Unclaimed Dividend, Shares; Compulsory Share Transfer to IEPF Post Due Date",TradingView,0.021726110950112343
2025-05-14 07:00:00+00:00,Bharti Airtel shares rally in morning trade: Here is why,theweek.in,0.03945912420749664
2025-05-08 07:00:00+00:00,"Telecom stocks in focus: Vodafone India shares gain, Bharti Airtel slips post Trai March data",Upstox,-0.7595549151301384
2025-01-01 08:00:00+00:00,"Bharti Airtel shares: After 57% rally in 2024, can the telco stock continue winning run this year?",Business Today,0.9189037084579468
2025-02-19 08:00:00+00:00,Bharti Airtel share price extends fall after block deal. Telecom stock down nearly 4% in three sessions,Mint,-0.9638139987364411
2025-05-15 07:00:00+00:00,"Bharti Airtel block deal: Singtel to offload Rs 8,500 cr worth shares, floor price at Rs 1,800",Business Today,0.06468440592288971
2025-05-18 07:00:00+00:00,"Bharti Airtel shares fall, Vodafone Idea tanks 5%; check latest developments",Upstox,-0.8866971079260111
2025-06-20 07:00:00+00:00,"Stocks to buy: Rajesh Palviya of Axis Sec suggests Swiggy, Wipro, Bharti Airtel shares today - 20 June",Mint,0.038565777242183685
2025-06-26 07:00:00+00:00,"Buy MCX & Bharti Airtel shares on dips; cautious on Cochin Shipyard stock, says YES Securities",Business Today,0.573532946407795
2025-05-15 07:00:00+00:00,"Stocks to Watch, May 16: Bharti Airtel, Page Industries, SCI, Texmaco Rail, Emami, IndusInd Bank, LIC Housing Finance",Upstox,0.03307106252759695
2025-05-19 07:00:00+00:00,AGR dues: Here's how telecom stocks are faring after SC plea rejection,Business Today,-0.3087831437587738
2025-03-11 07:00:00+00:00,Bharti Airtel share price down after deal with Elon Musk's SpaceX to provide Starlink services in India,Upstox,-0.944067882373929
2025-02-18 08:00:00+00:00,"Bharti Airtel block deal: Rs 8,485 crore worth shares change hands; what telecom operator says",Business Today,-0.008804118260741234
2025-02-06 08:00:00+00:00,"ITC Q3 Results highlights: Net profit rises 1.1% to ₹5,638 crore, interim dividend announced",Upstox,0.9166723657399416
