Quarter,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS
Dec '25,"53,981","53,981","13,420","5,623","12,185","8,386","2,900",11.44
Sep '25,"52,145","52,145","13,182","4,865","12,241","8,569","2,900",11.72
Jun '25,"49,462","49,462","12,465","5,460","10,421","7,339","2,900",10.26
Mar '25,"47,876","47,876","12,326","5,502","9,526","12,418","2,900",19.02
Dec '24,"45,129","45,129","11,704","5,675","15,232","14,474","2,897",25.54
Sep '24,"41,473","41,473","11,000","5,423","4,823","3,079","2,895",6.21
Jun '24,"38,506","38,506","10,540","5,152","5,113","3,805","2,894",7.21
Mar '24,"37,599","37,599","10,075","5,203","1,947","1,237","2,876",3.61
Dec '23,"37,899","37,899","10,074","6,644","3,405","2,173","2,861",4.27
Sep '23,"37,043","37,043","9,734","5,185","3,353","1,507","2,857",2.36
Jun '23,"37,440","37,440","9,653","5,613","1,263",930,"2,839",2.84
Mar '23,"36,009","36,009","9,405","5,163","4,413","3,625","2,836",5.3
Dec '22,"35,804","35,804","9,297","4,685","4,057","2,982","2,831",2.81
Sep '22,"34,526","34,526","8,946","4,940","3,908","2,622","2,830",3.8
Jun '22,"32,804","32,804","8,781","4,510","3,429","2,306","2,795",2.88
Mar '22,"31,500","31,500","8,582","4,059","4,323","3,001","2,795",3.59
Dec '21,"29,866","29,866","8,547","4,367","2,025","1,034","2,795",1.49
Sep '21,"28,326","28,326","8,247","3,964","2,430","1,399","2,746",2.06
Jun '21,"26,853","26,853","7,713","4,225","2,270","1,436","2,746",0.52
Mar '21,"25,747","25,747","7,501","3,860","1,493",983,"2,746",1.39
Dec '20,"26,517","26,517","7,503","3,971","-3,932","1,570","2,727",1.57
Sep '20,"25,785","25,785","7,421","3,760",560,8,"2,727",-1.4
Jun '20,"23,938","23,938","7,226","3,456","-11,540","-15,357","2,727",-29.22
Mar '20,"23,722","23,722","7,055","3,307","-6,919","-4,885","2,727",-9.69
Dec '19,"21,947","21,947","6,940","2,984","-1,350",-312,"2,566",-2.02
