Quarter,Depreciation,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS
Dec '25,--,"26,961","20,691","1,538",12.88
Sep '25,--,"26,658","20,363","1,536",12.78
Jun '25,--,"20,849","17,090",766,21.23
Mar '25,--,"25,573","19,284",765,24.62
Dec '24,--,"23,972","18,340",764,23.11
Sep '24,--,"23,968","18,627",763,23.4
Jun '24,--,"22,727","17,188",760,21.67
Mar '24,--,"17,761","18,012",759,23.2
Dec '23,--,"21,243","17,718",759,22.74
Sep '23,--,"20,967","17,312",758,22.24
Jun '23,--,"16,596","12,403",559,22.15
Mar '23,--,"16,782","12,634",557,22.58
Dec '22,--,"16,936","12,735",557,22.78
Sep '22,--,"14,956","11,162",557,20.01
Jun '22,--,"12,823","9,616",555,17.3
Mar '22,--,"13,689","10,474",554,18.8
Dec '21,--,"14,218","10,615",554,19.1
Sep '21,--,"12,323","9,119",553,16.4
Jun '21,--,"10,641","7,940",552,14.4
Mar '21,--,"11,265","8,444",551,15.3
Dec '20,--,"11,813","8,760",550,15.9
Sep '20,--,"10,377","7,711",550,14
Jun '20,--,"9,339","6,940",549,12.6
Mar '20,--,"9,681","7,296",548,13.3
Dec '19,--,"10,249","7,659",547,14
