Quarter,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS
Dec '25,"16,235","16,441",337,88,"2,926","6,610",235,28.12
Sep '25,"16,061","16,241",358,129,"3,573","2,697",235,11.43
Jun '25,"16,323","16,514",361,127,"3,304","2,769",235,11.73
Mar '25,"15,446","15,670",347,80,"3,363","2,476",235,10.48
Dec '24,"15,590","15,818",341,112,"3,981","2,988",235,12.7
Sep '24,"15,926","15,926",338,110,"3,548","2,601",235,11.03
Jun '24,"15,523","15,707",329,93,"3,531","2,614",235,11.11
Mar '24,"15,041","15,210",320,105,"3,419","2,561",235,10.89
Dec '23,"15,294","15,567",313,91,"3,446","2,509",235,10.68
Sep '23,"15,364","15,623",297,88,"3,590","2,659",235,11.3
Jun '23,"15,267","15,496",286,50,"3,475","2,557",235,10.87
Mar '23,"14,953","15,215",291,29,"3,494","2,602",235,11.06
Dec '22,"15,343","15,597",293,29,"3,379","2,481",235,10.53
Sep '22,"14,896","15,144",272,28,"3,259","2,670",235,11.35
Jun '22,"14,357","14,624",281,28,"3,214","2,391",235,10.13
Mar '22,"13,490","13,767",278,38,"3,119","2,307",235,9.81
Dec '21,"13,223","13,439",272,27,"3,103","2,300",235,9.78
Sep '21,"13,046","13,046",281,28,"2,965","2,185",235,9.28
Jun '21,"12,004","12,194",260,13,"2,687","2,100",235,8.92
Mar '21,"12,240","12,433",266,11,"2,888","2,190",235,9.31
Dec '20,"11,989","12,181",286,44,"2,636","1,938",235,8.24
Sep '20,"11,520","11,683",265,31,"2,639","1,974",235,8.4
Jun '20,"10,572","10,731",257,31,"2,442","1,897",235,8.08
Mar '20,"9,078","9,211",271,30,"2,004","1,512",216,6.98
Dec '19,"9,978","10,103",248,27,"2,259","1,631",216,7.51
