Quarter,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS
Dec '25,"45,479","45,479","1,155",100,"9,229","6,666","2,024",16.17
Sep '25,"44,490","44,490","1,182",106,"10,229","7,375","2,074",17.76
Jun '25,"42,279","42,279","1,140",105,"9,740","6,924","2,074",16.7
Mar '25,"40,925","40,925","1,299",102,"9,663","7,038","2,073",16.98
Dec '24,"41,764","41,764","1,203",101,"9,670","6,822","2,072",16.43
Sep '24,"40,986","40,986","1,160",108,"9,253","6,516","2,072",15.71
Jun '24,"39,315","39,315","1,149",105,"9,021","6,374","2,072",15.38
Mar '24,"37,923","37,923","1,163",110,"10,240","7,975","2,071",19.25
Dec '23,"38,821","38,821","1,176",131,"8,619","6,113","2,070",14.76
Sep '23,"38,994","38,994","1,166",138,"8,768","6,215","2,070",15.01
Jun '23,"37,933","37,933","1,173",90,"8,362","5,945","2,070",14.37
Mar '23,"37,441","37,441","1,121",82,"8,466","6,134","2,069",14.79
Dec '22,"38,318","38,318","1,125",80,"8,931","6,586","2,086",15.72
Sep '22,"36,538","36,538","1,029",66,"8,391","6,026","2,099",14.35
Jun '22,"34,470","34,470",950,56,"7,534","5,362","2,098",12.78
Mar '22,"32,276","32,276",890,50,"7,543","5,695","2,098",13.56
Dec '21,"31,867","31,867",899,53,"7,943","5,822","2,097",13.86
Sep '21,"29,602","29,602",859,48,"7,448","5,428","2,097",12.88
Jun '21,"27,896","27,896",829,49,"7,176","5,201","2,122",12.24
Mar '21,"26,311","26,311",831,50,"6,935","5,078","2,124",11.96
Dec '20,"25,927","25,927",826,49,"7,151","5,215","2,123",12.25
Sep '20,"24,570","24,570",855,48,"6,750","4,858","2,122",11.42
Jun '20,"23,665","23,665",756,48,"5,792","4,272","2,122",9.98
Mar '20,"23,267","23,267",749,45,"5,496","4,335","2,122",10.19
Dec '19,"23,092","23,092",737,42,"5,849","4,466","2,122",10.51
