Quarter,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS
Dec '25,"52,099","52,099","2,162","2,405","6,103","4,556",558,41.85
Sep '25,"46,105","46,105","1,668","2,347","5,588","3,494",558,32.9
Jun '25,"45,529","45,529","1,547","2,431","5,165","3,898",558,36.58
Mar '25,"42,599","42,599","2,028","2,396","4,187","3,102",558,29.52
Dec '24,"41,470","41,470","1,495","2,362","4,784","3,317",557,28.51
Sep '24,"37,923","37,923","1,301","2,217","4,273","2,894",557,28.43
Jun '24,"37,217","37,217","1,247","2,107","4,296","3,221",557,29.44
Mar '24,"35,451","35,451","1,335","1,989","3,635","2,730",557,24.71
Dec '23,"35,299","35,299","1,122","1,944","3,667","2,731",557,23.86
Sep '23,"34,435","34,435","1,138","1,835","3,347","2,263",557,21.07
Jun '23,"33,891","33,891","1,127","1,718","4,206","3,422",556,31.5
Mar '23,"32,365","32,365","1,194","1,633","3,255","2,762",556,23.68
Dec '22,"30,620","30,620","1,110","1,595","3,340","2,602",556,24.05
Sep '22,"29,870","29,870","1,091","1,381","3,507","2,585",556,24.93
Jun '22,"28,412","28,412",960,"1,218","2,451","1,918",556,19.74
Mar '22,"25,934","25,934",935,"1,222","2,695","2,047",556,20.13
Dec '21,"23,594","23,594",919,"1,211","2,792","2,066",555,17.89
Sep '21,"21,469","21,469",851,"1,284","2,985","2,031",555,17.35
Jun '21,"19,171","19,171",801,"1,300",-966,-748,555,-3.82
Mar '21,"21,455","21,455",850,"1,402","1,625",797,555,9.64
Dec '20,"21,625","21,625",847,"1,516","1,253",-272,554,6.35
Sep '20,"23,566","23,566","1,192","1,600",565,-96,554,1.22
Jun '20,"16,321","16,321","1,163","1,608",-83,-196,554,-0.88
Mar '20,"20,182","20,182","1,202","1,575","-1,829","-1,822",554,-12.04
Dec '19,"25,019","25,019","1,614","1,537",526,-170,554,1.8
