Quarter,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS
Dec '25,"2,64,905","2,64,905","14,622","6,613","29,697","22,167","13,532",13.78
Sep '25,"2,54,623","2,54,623","14,416","6,827","29,124","22,146","13,532",13.42
Jun '25,"2,43,632","2,43,632","13,842","7,036","37,146","30,681","13,532",19.95
Mar '25,"2,61,388","2,61,388","13,479","6,155","29,103","22,434","13,532",14.34
Dec '24,"2,39,986","2,39,986","13,181","6,179","28,643","21,804","13,532",13.7
Sep '24,"2,31,535","2,31,535","12,880","6,017","25,037","19,101","6,766",24.48
Jun '24,"2,31,784","2,31,784","13,596","5,918","23,234","17,448","6,766",22.37
Mar '24,"2,36,533","2,36,533","13,569","5,761","27,720","21,143","6,766",28.01
Dec '23,"2,25,086","2,25,086","12,903","5,789","25,833","19,488","6,766",25.52
Sep '23,"2,31,886","2,31,886","12,585","5,731","26,493","19,820","6,766",25.71
Jun '23,"2,07,559","2,07,559","11,775","5,837","24,294","18,182","6,766",23.66
Mar '23,"2,12,945","2,12,945","11,456","5,819","24,083","21,296","6,766",28.52
Dec '22,"2,17,164","2,17,164","10,187","5,201","23,006","17,740","6,766",23.34
Sep '22,"2,30,055","2,30,055","9,730","4,554","20,454","15,587","6,766",20.18
Jun '22,"2,19,304","2,19,304","8,946","3,997","27,301","19,508","6,765",26.54
Mar '22,"2,07,375","2,07,375","8,001","3,556","22,266","17,876","6,765",23.95
Dec '21,"1,85,027","1,85,027","7,683","3,812","25,094","20,406","6,765",28.08
Sep '21,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88
Jun '21,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96
Mar '21,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52
Dec '20,"1,17,860","1,17,860","6,665","4,326","14,907","14,819","6,445",20.33
Sep '20,"1,16,195","1,16,195","6,626","6,084","10,484","10,497","6,445",14.84
Jun '20,"88,253","88,253","6,308","6,735","13,186","12,926","6,445",12.92
Mar '20,"1,36,240","1,36,240","6,332","6,064","9,252","6,575","6,339",16.75
Dec '19,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36
