Date,Adj Close,Close,High,Low,Open,Volume,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,QuarterDate,P/EPS
2020-01-01,675.32421875,690.1383056640625,698.1387329101562,688.2639770507812,693.978515625,14004468,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.78236485566449
2020-01-02,686.8212280273438,701.8875122070312,704.4705200195312,691.2355346679688,691.2355346679688,17710316,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.40856361804705
2020-01-03,687.6488037109375,702.7332763671875,704.79052734375,696.2643432617188,700.8359985351562,20984698,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.45363854634736
2020-01-06,671.70068359375,686.435302734375,698.5044555664062,684.835205078125,694.8928833007812,24519177,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.58500455303649
2020-01-07,682.0345458984375,696.995849609375,701.5217895507812,691.9212646484375,694.4356689453125,16683622,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.147851083792894
2020-01-08,676.912353515625,691.7612915039062,701.4989013671875,690.3212280273438,692.6070556640625,16047902,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.86886457056781
2020-01-09,692.5025634765625,707.6935424804688,708.6078491210938,700.0360107421875,703.3961791992188,14982742,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.71800454665373
2020-01-10,692.3460693359375,707.5335083007812,712.2423095703125,703.8761596679688,709.4764404296875,12478359,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.70948090065019
2020-01-13,690.5789794921875,705.7277221679688,712.585205078125,703.3047485351562,706.3449096679688,18282382,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.613234177134395
2020-01-14,684.181884765625,699.1902465820312,708.6078491210938,695.7386474609375,704.0361938476562,15816535,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.26480853843274
2020-01-15,681.6990356445312,696.6529541015625,703.990478515625,694.0928344726562,702.1389770507812,15817859,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.12957710482196
2020-01-16,687.9842529296875,703.0761108398438,705.5676879882812,698.5501708984375,699.0073852539062,12847975,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.471909200963374
2020-01-17,707.2653198242188,722.780029296875,724.5858154296875,710.07080078125,710.2079467773438,29463471,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,38.52207624314917
2020-01-20,685.5015258789062,700.5388793945312,735.5806884765625,697.8187255859375,735.5806884765625,32545850,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.33668441606243
2020-01-21,686.1949462890625,701.2474975585938,706.7106323242188,695.8071899414062,698.8245239257812,18922720,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.37445241225831
2020-01-22,685.9487915039062,700.9960327148438,707.1220703125,699.9674072265625,705.8648681640625,10322817,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.36104528888379
2020-01-23,683.0411987304688,698.0244750976562,704.9276733398438,695.212890625,702.4360961914062,11247739,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.20267966941551
2020-01-24,680.6700439453125,695.6015014648438,702.3675537109375,694.22998046875,698.093017578125,14628445,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,37.07353180530025
2020-01-27,673.9598388671875,688.7439575195312,696.92724609375,688.0353393554688,692.5613403320312,13387750,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.70805222588167
2020-01-28,658.3919067382812,672.8345947265625,690.3212280273438,669.1087036132812,689.68115234375,24532236,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.86012563933994
2020-01-29,662.0155029296875,676.5376586914062,683.1893920898438,669.3143920898438,673.8860473632812,24746565,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.05748926632285
2020-01-30,645.8660278320312,660.033935546875,676.4690551757812,658.319580078125,676.1490478515625,22402689,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.17788822614549
2020-01-31,631.5060424804688,645.35888671875,664.3770141601562,643.3245239257812,664.2626953125,34750310,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,34.39575394773795
2020-02-03,619.8076782226562,633.4039916992188,640.0100708007812,623.140625,626.272216796875,30712290,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,33.7585881384889
2020-02-04,638.1044311523438,652.1021118164062,654.8908081054688,639.0271606445312,640.0328979492188,25383901,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,34.75514330895118
2020-02-05,647.9909057617188,662.2054443359375,664.1712646484375,653.8850708007812,655.9879760742188,18472100,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.2936223181764
2020-02-06,652.1513061523438,666.4570922851562,670.6630249023438,658.3652954101562,664.765625,15538577,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.52022364664182
2020-02-07,641.3477783203125,655.4165649414062,663.965576171875,652.970703125,663.348388671875,12209212,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,34.93179620481005
2020-02-10,642.22021484375,656.3080444335938,660.833984375,644.810302734375,652.8335571289062,15142476,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,34.979314533973316
2020-02-11,649.892333984375,664.1484375,670.2973022460938,660.6282348632812,661.7025756835938,13999816,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.397185946861384
2020-02-12,657.7432861328125,672.1716918945312,674.2518310546875,665.1770629882812,665.7028198242188,13533565,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.824797719652096
2020-02-13,659.4655151367188,673.9317626953125,675.5775756835938,668.6514892578125,675.5775756835938,13565659,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,35.91860104230494
2020-02-14,665.482421875,680.0806884765625,686.4124145507812,664.3084106445312,675.3489990234375,21227841,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.24631927423747
2020-02-17,661.2997436523438,675.80615234375,688.5610961914062,674.0003662109375,680.720703125,13149130,"1,53,179","1,53,179","5,545","5,404","14,905","11,784","6,339",18.36,2019-12-31,36.018504556227875
