Indicators,Dec '25,Sep '25,Jun '25,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,,,,,,,,,,,,,,,,
Net Sales/Income from operations,"2,64,905","2,54,623","2,43,632","2,61,388","2,39,986","2,31,535","2,31,784","2,36,533","2,25,086","2,31,886","2,07,559","2,12,945","2,17,164","2,30,055","2,19,304","2,07,375","1,85,027","1,67,611","1,39,949","1,49,575","1,17,860","1,16,195","88,253","1,36,240","1,53,179",,,,,,,,,,,,,,,,
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Total Income From Operations,"2,64,905","2,54,623","2,43,632","2,61,388","2,39,986","2,31,535","2,31,784","2,36,533","2,25,086","2,31,886","2,07,559","2,12,945","2,17,164","2,30,055","2,19,304","2,07,375","1,85,027","1,67,611","1,39,949","1,49,575","1,17,860","1,16,195","88,253","1,36,240","1,53,179",,,,,,,,,,,,,,,,
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,"1,08,346","1,06,488","99,282","1,07,347","98,514","1,07,060","1,09,206","1,03,968","98,949","1,01,619","95,809","1,04,031","98,730","1,16,952","1,30,528","1,12,899","91,315","82,212","74,358","66,891","53,518","44,220","35,286","57,683","68,373",,,,,,,,,,,,,,,,
Purchase of Traded Goods,"64,093","65,276","57,582","60,402","59,459","52,824","50,001","42,825","57,898","50,786","38,372","37,778","47,755","46,538","37,231","38,151","39,426","33,198","24,810","30,785","27,639","29,611","13,815","31,797","38,476",,,,,,,,,,,,,,,,
Increase/Decrease in Stocks,-811,"-8,421","-4,214","2,621","-5,014","-6,982","-5,749","6,671","-9,345",304,"-2,513","-4,706",-748,"-3,919","-20,890","-6,041","-4,572","-1,981","-8,863","3,861","-8,908","-2,380","-1,637",99,"-1,378",,,,,,,,,,,,,,,,
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Employees Cost,"7,912","7,491","7,232","7,684","7,155","6,649","7,071","6,818","6,313","5,947","6,601","6,471","6,267","6,153","6,003","5,278","4,660","4,580","4,257","3,976","4,244","3,429","3,168","3,713","3,880",,,,,,,,,,,,,,,,
Depreciation,"14,622","14,416","13,842","13,479","13,181","12,880","13,596","13,569","12,903","12,585","11,775","11,456","10,187","9,730","8,946","8,001","7,683","7,230","6,883","6,973","6,665","6,626","6,308","6,332","5,545",,,,,,,,,,,,,,,,
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,
Other Expenses,"39,347","37,904","40,845","39,502","36,083","32,926","32,490","33,735","30,615","32,262","31,197","30,931","29,913","33,107","28,435","25,722","24,492","23,582","22,019","20,711","19,801","22,370","20,746","21,166","21,202",,,,,,,,,,,,,,,,
"P/L Before Other Inc., Int., Excpt. Items & Tax","31,396","31,469","29,063","30,353","30,608","26,178","25,169","28,947","27,753","28,383","26,318","26,984","25,060","21,494","29,051","23,365","22,023","18,790","16,485","16,378","14,901","12,319","10,567","15,450","17,081",,,,,,,,,,,,,,,,
Other Income,"4,914","4,482","15,119","4,905","4,214","4,876","3,983","4,534","3,869","3,841","3,813","2,918","3,147","3,514","2,247","2,457","4,047","4,224","4,219","3,237","4,453","4,249","4,388","4,133","3,405",,,,,,,,,,,,,,,,
"P/L Before Int., Excpt. Items & Tax","36,310","35,951","44,182","35,258","34,822","31,054","29,152","33,481","31,622","32,224","30,131","29,902","28,207","25,008","31,298","25,822","26,070","23,014","20,704","19,615","19,354","16,568","14,955","19,583","20,486",,,,,,,,,,,,,,,,
Interest,"6,613","6,827","7,036","6,155","6,179","6,017","5,918","5,761","5,789","5,731","5,837","5,819","5,201","4,554","3,997","3,556","3,812","3,819","3,397","4,044","4,326","6,084","6,735","6,064","5,404",,,,,,,,,,,,,,,,
P/L Before Exceptional Items & Tax,"29,697","29,124","37,146","29,103","28,643","25,037","23,234","27,720","25,833","26,493","24,294","24,083","23,006","20,454","27,301","22,266","22,258","19,195","17,307","15,571","15,028","10,484","8,220","13,519","15,082",,,,,,,,,,,,,,,,
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,836",--,--,797,-121,--,"4,966","-4,267",-177,,,,,,,,,,,,,,,,
