date,headline,source,sentiment
2020-05-07 07:00:00+00:00,Glaxo to sell 6% in HUL for Rs 26k cr,The Times of India,0.053899976424872875
2020-04-09 07:00:00+00:00,"HUL, Nestlé India stocks suggest no covid-19 impact for some firms",Mint,-0.269991472363472
2020-04-12 07:00:00+00:00,"HUL, the superstock? Safe haven demands, better earnings attract investors",Business Standard,0.7791225928813219
2020-05-06 07:00:00+00:00,"GSK Pte, Horlicks to sell 5.7% in HUL for $3.3 bn",The Hindu,0.026557247154414654
2020-05-07 07:00:00+00:00,GlaxoSmithKline sells $3.35B Unilever India stake in unwinding of consumer health business,Fierce Pharma,0.10512700956314802
2020-04-02 07:00:00+00:00,"HUL completes merger with GSK consumer healthcare, to now own Horlicks brand",The News Minute,0.09168511629104614
2020-06-25 07:00:00+00:00,"Why HUL might not withdraw Fair & Lovely — nearly Rs 4,100 crore annual revenue from India alone",Moneycontrol,-0.040341731160879135
2020-05-28 07:00:00+00:00,ITC vs HUL – Which One is Better? Valuation Angle,Invest Yadnya,0.12073446251451969
2020-02-25 08:00:00+00:00,HUL sets up wholly owned manufacturing subsidiary,The Times of India,0.04258883465081453
2020-02-25 08:00:00+00:00,"HUL to set up new manufacturing arm, move to help co avail lower 15% tax",Mint,0.8969270773231983
2020-04-30 07:00:00+00:00,Hindustan Unilever trades lower for third straight day ahead of Q4 results,Business Standard,-0.9544177483767271
2020-04-02 07:00:00+00:00,"HUL now owns Horlicks, Boost",The Times of India,0.01107269711792469
2020-05-08 07:00:00+00:00,How GSK-HUL deal has ended up being a win-win for shareholders,Mint,0.08116895891726017
2020-04-22 07:00:00+00:00,Hindustan Unilever's valuation premium over peers hits record high,Business Standard,0.8947495324537158
2020-06-25 07:00:00+00:00,Hindustan Unilever to drop 'Fair' from 'Fair & Lovely',The Times of India,-0.6733237728476524
2020-06-02 07:00:00+00:00,Production at 80-90% of normative levels: Hindustan Unilever,Mint,0.04302881099283695
2020-04-03 07:00:00+00:00,HUL pips HDFC Bank to 3rd spot in market capitalisation; RIL remains on top,Business Standard,0.9264125525951385
2020-07-01 07:00:00+00:00,HUL in talks to shift supply from China,The Times of India,0.672667033970356
2020-03-24 07:00:00+00:00,HUL to buy VWash from Glenmark,The Times of India,0.05167941935360432
2020-06-25 07:00:00+00:00,HUL in a spot as J&J exits fairness line,The Times of India,0.05585490167140961
2020-06-26 07:00:00+00:00,Hindustan Unilever to drop ‘fair’ from ‘Fair & Lovely',The Times of India,-0.3794868625700474
2020-06-25 07:00:00+00:00,HUL to rebrand Fair & Lovely cream as criticism heaps on fairness products,The Times of India,-0.9076150972396135
2020-05-07 07:00:00+00:00,GSK sells $3.4 billion Hindustan Unilever stake in largest India block trade,Reuters,0.05056235194206238
