date,headline,source,sentiment
2020-03-18 07:00:00+00:00,Infosys Quarterly Revenue Share by Region,Dazeinfo,-0.006908077746629715
2020-01-11 08:00:00+00:00,"Infosys CEO, CFO get clean chit on whistleblower complaint",The Times of India,-0.22516189888119698
2020-01-13 08:00:00+00:00,"Sensex, Nifty end at record closing highs; Infosys gains 4%, Yes Bank sheds 6%",Moneycontrol,0.3264467120170593
2020-02-18 08:00:00+00:00,"MARKET WRAP: Indices off day's low, Sensex ends 161 pts lower; Infy up 1%",Business Standard,-0.8653929159045219
2020-05-26 07:00:00+00:00,Infosys Revenue Per Employee by Quarter,Dazeinfo,-0.028687264770269394
2020-01-17 08:00:00+00:00,"Former Infy, Wipro execs launch venture to promote growth among women in tech",Mint,0.3152368701994419
2020-03-17 07:00:00+00:00,Infosys Quarterly Revenue from Operations,Dazeinfo,-0.09566982463002205
2020-06-04 07:00:00+00:00,Wipro share price up 2.72% at closing today,Mint,0.9279464986175299
2020-01-31 08:00:00+00:00,From sleeping pods to theatres: Here are the 10 coolest workplaces in India,Moneycontrol,-0.011877596378326416
2020-03-18 07:00:00+00:00,Infosys Quarterly Revenue by Segments,Dazeinfo,-0.04301685839891434
2020-03-18 07:00:00+00:00,Number of Infosys Million Dollar Clients by Quarter,Dazeinfo,-0.021022316068410873
2020-03-17 07:00:00+00:00,Infosys Quarterly Revenue by Offering – Digital and Core,Dazeinfo,0.15335804130882025
2020-12-27 08:00:00+00:00,"Infosys share price at its peak, analysts expect further 13% upside",Mint,0.8527061641216278
2020-07-16 07:00:00+00:00,Infosys Revenue and Net Income by Quarter,Dazeinfo,0.007244212552905083
2020-12-24 08:00:00+00:00,"Infosys rallies on $3 billion Daimler deal, mcap crosses $70 billion",The Times of India,0.7734693083912134
2020-12-23 08:00:00+00:00,"Infosys Share Price Today: After Daimler deal, stock jumps sharply; experts say poised to rise 5% from current levels",Zee Business,0.9170542042702436
2020-10-15 07:00:00+00:00,Infosys Ltd Hits Market Cap of Rs 5 Trillion,Equitypandit,0.8544875495135784
2020-12-02 08:00:00+00:00,Rolls-Royce and Infosys Announce Strategic Partnership for Aerospace Engineering in India,PR Newswire,0.7938866904005408
2020-08-10 07:00:00+00:00,Why Infosys Stock Rose 33% in July,The Motley Fool,0.933847377076745
2020-07-26 07:00:00+00:00,"Infy co-founder Shibulal, family sell 0.2% stake for Rs 786 crore",The New Indian Express,0.00014763139188289642
2020-07-30 07:00:00+00:00,"LIC's portfolio up 34% in FY21 at Rs 5.79 trn; RIL, Infy top contributors",Business Standard,0.9339695759117603
2020-12-23 08:00:00+00:00,Infosys (INFY) Partners With Daimler to Aid Cloud Transition,Yahoo Finance,0.8393733049742877
2020-07-16 07:00:00+00:00,Infosys Revenue by Quarter: From FY Q1 1996 to Q1 2021,Dazeinfo,-0.01688353717327118
2020-10-15 07:00:00+00:00,"Infosys beats TCS, Wipro in Q2 revenue growth; to give pay hikes from January",The Times of India,0.9007268846035004
2020-07-16 07:00:00+00:00,"BSE IT index hits record high on strong Q1 show by Infosys, L&T Infotech",Business Standard,0.9176141638308764
2020-10-12 07:00:00+00:00,"Sensex up 84 points, Nifty ends flat at 11,935 in choppy trade; Infy, ITC gain",Mint,-0.43590247631073
2020-07-16 07:00:00+00:00,Infosys Net Profit by Quarter: FY Q1 1996 to Q1 2021,Dazeinfo,-0.04966204799711704
2020-10-08 07:00:00+00:00,Infosys to acquire Blue Acorn iCi for around Rs 915 crore,The Times of India,0.05733978748321533
2020-10-15 07:00:00+00:00,"Weak global cues, sell-off in RIL, IT drag indices; Sensex tanks 1,066 pts",Business Standard,-0.9236037600785494
2020-07-16 07:00:00+00:00,Infosys Quarterly Revenue by Region: FY Q1 2001 – Q1 2021,Dazeinfo,-0.02141282521188259
2020-09-26 07:00:00+00:00,Infosys’s data and analytics business is now $3 billion,The Times of India,0.03982786275446415
2020-09-02 07:00:00+00:00,"Infosys to hire 12,000 more in US in 2 years",The Times of India,0.8339080903679132
2020-07-30 07:00:00+00:00,"Sensex ends down over 300 points, Nifty below 11,100 dragged by banks",Mint,-0.9583191480487585
2020-12-18 08:00:00+00:00,Markets rise for 6th day; Sensex up 70 pts; Nifty ends at 13760; IT stocks gain,Mint,0.8891685139387846
2020-10-02 07:00:00+00:00,5 Best Index Mutual Funds to invest in 2020 to beat corona virus situation,Myinvestmentideas,0.7858552392572165
2020-07-14 07:00:00+00:00,"Vanguard transferring 1,300 jobs as part of outsourcing partnership",The Business Journals,-0.8803505320101976
2021-04-12 07:00:00+00:00,"Infosys plans share buyback of up to Rs 12,000 crore, its third in five years",The Times of India,0.26560194231569767
2021-03-31 07:00:00+00:00,Analysis | Infosys gains at least 10% in a couple of weeks leading to result day in last 4 quarters,Moneycontrol,0.9083548747003078
2021-01-14 08:00:00+00:00,"Sensex ends 92 points higher; Nifty just shy of 14,600; Indusind Bank, TCS gain",Mint,0.8286207411438227
2021-01-23 08:00:00+00:00,"How a Rs 10,000 investment in these stocks grew over the decades",The Times of India,0.05954308342188597
2021-06-02 07:00:00+00:00,Explained | All you need to know about Infosys insider trading case,Moneycontrol,0.009532801806926727
2021-03-30 07:00:00+00:00,"Bulls ride on IT, metal stocks to drive Sensex 1,128 pts higher at 50,136",Business Standard,0.8979214485734701
2021-06-08 07:00:00+00:00,Here’s how India-based Polygon(MATIC) outperformed other major cryptos,The Economic Times,0.7746094958856702
2021-02-18 08:00:00+00:00,Infosys is front-runner for $1.5 billion Pfizer deal,The Times of India,0.20149837993085384
2021-04-16 07:00:00+00:00,"How do TCS, Infosys, Wipro stack up post-Q4, here’s what brokerages have to say",Moneycontrol,-0.0056115612387657166
2021-05-21 07:00:00+00:00,7 Best Blue-Chip Stocks Under $20 for Your Buy List,InvestorPlace,0.03904034569859505
2021-02-05 08:00:00+00:00,Parag Milk Foods third quarter net profit dips 59% to Rs 11.21 crore,Business Standard,-0.9554607160389423
2021-06-14 07:00:00+00:00,"Infosys hired 3,000 employees in US in FY21, EU strength dips",The Times of India,-0.6182512491941452
2021-06-11 07:00:00+00:00,4 IT stocks that have given highest returns since the listing day,Moneycontrol,0.3311386853456497
2021-08-25 07:00:00+00:00,Infosys becomes fourth Indian firm to touch $100 billion market cap,The Times of India,0.6354593643918633
2021-10-13 07:00:00+00:00,Infosys Stock Rises As Revenue Tops Views But Employee Turnover Spikes,Investor's Business Daily,0.5032962560653687
2021-08-30 07:00:00+00:00,"MC Insider: Get-out-of-jail conmen, the restless former CM, tongue-lashing for Infy, flop IPO and more",Moneycontrol,-0.026123203337192535
2021-08-09 07:00:00+00:00,BACKSTORY: How Infosys overcame IPO hiccups to scale stock market peak,CNBC TV18,0.09060809388756752
2021-07-21 07:00:00+00:00,Infosys reopens offices as India Inc eyes long road back to work,Reuters,0.14528926834464073
2021-09-30 07:00:00+00:00,"Sebi bans ex-Infy, Wipro staffers in insider trading case",The Economic Times,-0.8920802883803844
2021-10-13 07:00:00+00:00,"Infosys (INFY) Earnings: Q2 profit rises on 21% revenue growth, meets view",AlphaStreet News,0.9250150751322508
2021-09-30 07:00:00+00:00,"Sebi bans Infosys, Wipro employees from trading in stock exchanges",The New Indian Express,-0.5058758947998285
