date,headline,source,sentiment
2020-03-25 07:00:00+00:00,"M&M share price falls 5%, hits 52-week low as coronavirus halts car production",Moneycontrol,-0.9588001649826765
2020-03-30 07:00:00+00:00,Mahindra & Mahindra share price falls over 8 per cent after firm suspends manufacturing operations,Business Today,-0.946998723782599
2020-06-12 07:00:00+00:00,"Sensex recovers sharply, ends 243 points higher; Nifty at 9,970, M&M jumps 7%",Mint,0.672409400343895
2020-04-07 07:00:00+00:00,"Market Wrap, April 7: Here's all that happened in the markets today",Business Standard,-0.028218843042850494
2020-03-06 08:00:00+00:00,Coronavirus fear grips Mahindra & Mahindra production for two consecutive months,ET Auto,-0.93618044257164
2020-05-08 07:00:00+00:00,Mahindra Launches Online Sales Platform,Equitypandit,0.09986862819641829
2020-06-12 07:00:00+00:00,"Closing Bell: Nifty scales 9,950 again amid high volatility; M&M, Bharti Infratel top gainers",Moneycontrol,0.8924137465655804
2020-01-21 08:00:00+00:00,"Zomato acquires UberEats India in all-stock deal, first big consolidation in food delivery space",The Economic Times,0.5664690490812063
2020-03-25 09:29:00+00:00,"Mahindra Bolero B4 On Road Price: Bolero B4 Images, Colors, Features, Specifications, Reviews",The Financial Express,0.014494335278868675
2020-04-09 07:00:00+00:00,"Nifty reclaims 9,100, Sensex closes 1,265 points higher; M&M, Maruti top gainers",Mint,0.8427186347544193
2020-06-02 07:00:00+00:00,Mahindra & Mahindra rallies 10% in 2 days on healthy tractor sales in May,Business Standard,0.9021935015916824
2020-01-18 08:00:00+00:00,"MG’s electric ZS SUV outsells EVs of M&M, Tata and Hyundai at launch",The Times of India,0.9337910329923034
2020-02-27 08:00:00+00:00,"2005 - Maria Sharapova's time in tennis: Teen titles, career Slam, ban",The Economic Times,0.029662080109119415
2020-03-12 07:00:00+00:00,BSE m-cap at lowest since May 2017; investors lose Rs 33-trn in a month,Business Standard,-0.9602163983508945
2020-02-21 08:00:00+00:00,Fire at Varroc’s Pune plant may put supplies to key automakers on the line,Mint,-0.8960394524037838
2020-06-12 07:00:00+00:00,"MARKET WRAP: Sensex recovers 1,433 pts from day's low, ends 243 pts higher",Business Standard,0.6852511316537857
2020-11-11 08:00:00+00:00,M&M shuts Australia aerospace subsidiary,The Times of India,-0.8951397566124797
2020-09-16 07:00:00+00:00,"D-Street Buzz: Auto stocks gain led by M&M, Tata Motors; Bajaj Auto, MRF, TVS Motor up 1-2%",Moneycontrol,0.9005991406738758
2020-11-18 08:00:00+00:00,"Share Market Highlights: Sensex closes above 44K for first time, Nifty at 12,938; M&M, L&T, IndusInd Bank top gainers",Business Today,0.9003964606672525
2020-07-21 07:00:00+00:00,"A 75% Discount on M&M Finance Shares: A Gift, or Desperate Measures?",Capitalmind,0.24020379036664963
2020-08-10 07:00:00+00:00,"Sensex ends 142 points higher, Nifty above 11,250; M&M, L&T top gainers",Mint,0.880627378821373
2020-07-17 07:00:00+00:00,Mahindra & Mahindra hits over 5-month high; stock zooms 61% in 3 months,Business Standard,0.9000854436308146
2020-10-19 07:00:00+00:00,How stocks of largest spenders on R&D have performed during the last 10 years,The Economic Times,0.7890571393072605
2020-08-06 07:00:00+00:00,Indian Benchmark Indices Close the Day on a Flat Note,ClearTax Chronicles,-0.8809839077293873
2020-12-16 08:00:00+00:00,M&M subsidiary Ssangyong defaults on loan repayment,The Times of India,-0.9080451065674424
2020-09-01 07:00:00+00:00,"Stocks in the news | Bharti Airtel, L&T, Biocon, M&M, Aarey Drugs, Jindal Steel & Power, India...",Moneycontrol,0.048148770816624165
2020-11-26 08:00:00+00:00,M&M announces share swap deal to merge Mahindra First Choice with TVS Automobile,The Economic Times,0.17175428848713636
2020-12-22 08:00:00+00:00,"Trading calls by Nilesh Jain of Anand Rathi: Sell Info Edge, M&M Financial",Business Standard,0.015783926472067833
2020-09-16 07:00:00+00:00,"Sensex ends up nearly 260 points, Nifty above 11,600; M&M, Bajaj Auto lead gains",Mint,0.8860312439501286
2020-11-27 08:00:00+00:00,TVS company buys M&M’s First Choice Services,The Times of India,0.10736634023487568
2020-07-27 07:00:00+00:00,Mahindra Finance vs Shriram Transport: Which rights issue should you choose?,Moneycontrol,0.016442621126770973
2021-01-01 08:00:00+00:00,"M&M, Ford pull the plug on joint venture",Mint,-0.08364257961511612
2020-11-18 08:00:00+00:00,Mahindra & Mahindra to make new K2 series tractors; stock hits 52-week high,Business Standard,0.9075593855232
2020-07-28 07:00:00+00:00,Mahindra Finance Rights issue opens; 10 key things to know,Moneycontrol,0.03288329765200615
2020-10-07 07:00:00+00:00,"MG in talks for contract manufacturing with Volkswagen India, M&M-Ford",The Times of India,0.6856372402980924
2021-01-01 08:00:00+00:00,"Escorts, M&M: Tractor stocks could see 20-30% upside, charts suggest",Business Standard,0.0778193473815918
2020-11-18 08:00:00+00:00,"Sensex gains 227 pts, ends above 44K, Nifty settles at 12,938; M&M up 11%",Business Standard,0.8257705420255661
2020-10-13 07:00:00+00:00,Overseas markets: Should you invest directly or through mutual funds?,The Economic Times,0.014915267005562782
2020-07-20 07:00:00+00:00,M&M Financial gains 12% on 1:1 rights issues at Rs 50 per share,Business Standard,0.9142358209937811
2020-08-10 07:00:00+00:00,"Sensex ends 142 points higher, Nifty above 11,250; M&M, L&T top gainers",Mint,0.880627378821373
2020-08-20 07:00:00+00:00,"Mahindra & Mahindra reboots SUV biz, defines new automotive narrative",ET Auto,0.11659392062574625
2020-08-01 07:00:00+00:00,"Sensex, Nifty rallied 7% in July; more than 100 stocks in BSE 500 rose 10-80%",Moneycontrol,0.9264973104000092
2020-11-07 08:00:00+00:00,Thar 2020: M&M to deliver 500 units of all-new SUV pan-India in just 2 days,Mint,0.5974443042650819
2020-09-25 07:00:00+00:00,"Sensex, Nifty snap 6-day losing streak to end 2% higher, IT stocks shine",Mint,-0.6080703586339951
2020-09-22 07:00:00+00:00,"Sensex ends 300 points lower, Nifty below 11,200 as global selloff continues",Mint,-0.9521421613171697
2020-10-11 07:00:00+00:00,Revamped Thar’s launch may rev up M&M’s passenger vehicle division,Mint,0.9148275079205632
2020-10-02 07:00:00+00:00,Mahindra FES rolls out Krish-e centres in Maharashtra,The Times of India,0.06936333980411291
2020-11-05 08:00:00+00:00,"FIIs raise stake in 100 companies in Q2, stocks rise 100-500% since April; time to book profit?",Moneycontrol,0.6047682147473097
2020-12-14 08:00:00+00:00,"Indices end at fresh closing highs, Sensex rises 154 points; PSU banks, metals shine",The Indian Express,0.622317848727107
2020-08-05 07:00:00+00:00,"Tractor demand will continue to remain buoyant, says M&M's Hemant Sikka",Business Standard,0.9107272978872061
2020-10-16 07:00:00+00:00,Sensex Today: Key equity indices ended with decent gains; Sensex gains 255 points & Nifty settles at...,The Hans India,0.921004256233573
2020-07-14 07:00:00+00:00,XUV300 tops Global NCAP's 6-year safety rankings: M&M,Moneycontrol,0.7296821912750602
2020-11-05 08:00:00+00:00,"M&M offers discount, other benefits to govt employees on vehicle purchase",Business Standard,0.0371882189065218
2020-12-11 08:00:00+00:00,What's the name of the robot? - Democracy goes hi-tech as robot assists in Kerala local body polls,The Economic Times,0.02474995329976082
2020-10-06 07:00:00+00:00,"MARKET WRAP: HDFC twins lift indices; Sensex up 601 pts, Nifty tops 11,650",Business Standard,0.9063062332570553
2020-10-05 07:00:00+00:00,Hyundai Creta prices hiked: Seltos rival gets dearer by this much,The Financial Express,-0.6364825218915939
2020-10-06 07:00:00+00:00,Billion-Dollar Heist - 7 Indian Billionaires Who Went From Riches To Rags,The Economic Times,0.019513867795467377
2021-01-02 08:00:00+00:00,"In a surprise move, Ford, Mahindra call off proposed auto joint venture",The Times of India,-0.5012031514197588
2021-02-26 08:00:00+00:00,"Top Losers on Monday, 1 March : ONGC, M&M, Axis Bank, Bajaj Finserv, Kotak Bank",Business Today,-0.2604757770895958
2021-03-01 08:00:00+00:00,"Mahindra & Mahindra share price up 3%, February tractor sales up 25% YoY",Moneycontrol,0.9330222122371197
2021-05-31 07:00:00+00:00,Why M&M Share Price Fell 4.5% Today? Top Loser in F&O Segment.,Equitypandit,-0.9375322926789522
2021-02-26 08:00:00+00:00,Market recap for 26 February 2021,Upstox,-0.03488524444401264
2021-01-01 08:00:00+00:00,"M&M, Ford pull the plug on joint venture",Mint,-0.08364257961511612
2021-05-31 07:00:00+00:00,M&M slips 7% as firm expects slower tractor sales growth in FY22,Business Standard,-0.9623764734715223
2021-06-28 07:00:00+00:00,Top 3 Agriculture Stocks to Keep Your Eye On,Equitymaster,0.008646415546536446
2021-03-27 07:00:00+00:00,Anish Shah to take over as MD-CEO of M&M,The Indian Express,0.02976766973733902
2021-03-15 07:00:00+00:00,Sensex surges over 600 pts in early trade,Telegraph India,0.7850807681679726
2021-04-05 07:00:00+00:00,"No sedans, mini SUVs for M&M: CEO Shah",The Times of India,0.019682254642248154
2021-03-02 08:00:00+00:00,"Riding on tractor, PV sales momentum, Tata Motors, M&M steal the show in Feb",Mint,0.5011638877913356
2021-02-03 08:00:00+00:00,This Jhunjhunwala-owned stock can rally another 21%: Analysts,Business Standard,0.9207387110218406
2021-02-12 08:00:00+00:00,"Nifty at a high, but only 11 stocks are at record levels: A warning or an opportunity?",Moneycontrol,-0.018292412161827087
2021-01-21 08:00:00+00:00,"Sensex at 50,000: Six stocks that have been part of the index's dream run",Business Today,0.026915648952126503
2021-01-11 08:00:00+00:00,"Markets open at fresh highs, sensex crosses 49,000-mark for first time ever; Nifty above 14,400",The Times of India,0.8905822820961475
2021-04-05 07:00:00+00:00,An interview with Anand Mahindra’s successor at the helm of M&M | Company Business News,Mint,-0.00024221278727054596
2021-01-01 08:00:00+00:00,"Escorts, M&M: Tractor stocks could see 20-30% upside, charts suggest",Business Standard,0.0778193473815918
2021-05-31 07:00:00+00:00,Mahindra-Fiat faceoff: M&M says Thar supply ramp-up bigger worry than dispute over Jeep Wrangler,Moneycontrol,-0.5034679770469666
2021-03-10 08:00:00+00:00,"M&M says 'no widespread layoffs', 48 employees left due to 'redundancies' in last 12 months",Mint,-0.9633502536453307
2021-06-20 07:00:00+00:00,Anand Mahindra's Father's Day post sheds light on M&M's decades-old relation with Jeep,Moneycontrol,0.20297794044017792
2021-03-27 07:00:00+00:00,Mahindra Electric Mobility to consolidate with parent M&M,Mint,0.05853872187435627
2021-05-28 07:00:00+00:00,Mahindra plots 14 LCVs including 6 EVs by 2026,Autocar Professional,0.1758089018985629
2021-06-22 07:00:00+00:00,Stock market- Economy conundrum,OpIndia,-0.31904633715748787
2021-04-22 07:00:00+00:00,Anand Mahindra’s Success Story: An Inspiring Journey of Mahindra’s Boss!,Trade Brains,0.278951408341527
2021-03-30 07:00:00+00:00,Investor wealth jumps over Rs 6 lakh crore in two trading days,Moneycontrol,0.8169269133359194
2021-04-19 07:00:00+00:00,"Mahindra sells 1000 units of Treo Zor, grabs 59% market share",The Financial Express,0.12766510527580976
2021-04-30 07:00:00+00:00,Mahindra acquires Meru Cabs for Rs 98 crore: Pravin Shah to replace Neeraj Gupta as new CEO,The Financial Express,-0.04314962774515152
2021-05-12 07:00:00+00:00,Mahindra says no plan to launch Thar SUV in Australia after Jeep threatens lawsuit,Moneycontrol,-0.22410354763269424
2021-12-09 08:00:00+00:00,"M&M, Jio-BP tie up for EV services",The Times of India,0.2077474407851696
2021-11-09 08:00:00+00:00,Mahindra & Mahindra ‘open’ to funding for electric vehicle business once again,Moneycontrol,0.708161260932684
2021-08-09 07:00:00+00:00,M&M Executive Chairman Anand Mahindra will stay on until Nov’21,Trade Brains,-0.03098437562584877
2021-09-22 07:00:00+00:00,"Market Highlights: Indices end marginally lower, Sensex settles below 59,000-mark, Zee surges 30%",The Indian Express,-0.9314990621060133
2021-09-01 07:00:00+00:00,"Share Bazaar LIVE: 100% peak margin from today, difficulties to increase for small brokers - Anil Singhvi",Zee Business,0.9133205562829971
2021-09-01 07:00:00+00:00,"Sensex closes 214 pts lower, Nifty above 17K; realty surges; factory PMI slips",Mint,-0.9033754393458366
2021-10-13 07:00:00+00:00,"sensex updates on october 13, 2021",The Hindu,-0.011838076636195183
2021-12-21 08:00:00+00:00,Best mid cap mutual funds to invest in 2022,The Economic Times,0.09241841826587915
2021-11-23 08:00:00+00:00,"From M&M to Escorts, tractor makers hitch a ride on farm machinery",Business Standard,0.0008638463914394379
2021-11-10 08:00:00+00:00,F&O Morning Update for 10 November 2021,Upstox,-0.030910156667232513
2021-10-13 07:00:00+00:00,"Market At Lifetime High, Check Top Performing Stocks",India.Com,0.32781228236854076
2021-11-10 08:00:00+00:00,Nykaa market cap crosses Rs 1 lakh crore: Should investors book profits?,The Times of India,0.08399112895131111
2021-09-24 12:26:00+00:00,"Market Highlights: Indices settle at new highs, Sensex ends above 60,000-mark for the first time",The Indian Express,0.6607161611318588
2021-11-09 08:00:00+00:00,"Sensex sheds over 100 points, Nifty remains over 18K in day of sideways trade",Mint,-0.9222829807549715
2021-09-11 07:00:00+00:00,Ex-M&M MD Pawan Goenka appointed chairperson of In-SPACe,Moneycontrol,0.01339859701693058
2021-10-07 07:00:00+00:00,"Sensex surges 488 pts amid global rally; Nifty ends near 17,800",The Hindu,0.7520227357745171
2021-09-02 07:00:00+00:00,"M&M to halt production for 7 days due to chip shortage, sees 25% output cut",Business Standard,-0.9390188995748758
2021-11-10 08:00:00+00:00,"Sensex, Nifty pare losses but close in red; metals, realty, PSU banks top drags",Mint,-0.3469076454639435
2021-09-30 07:00:00+00:00,Mahindra & Mahindra to open bookings for XUV700 from October 7,Business Standard,0.05656376015394926
2021-08-16 07:00:00+00:00,"Sensex closes 145 pts higher, Nifty at 16,563; auto drags; metals, FMCG gain",Mint,-0.4000948965549469
2021-10-02 07:00:00+00:00,5 Indian Companies with Enviable Stock Portfolios,Equitymaster,0.18444217834621668
2021-12-15 08:00:00+00:00,"Share Market Updates: Sensex, Nifty open flat amid mixed global cues; ITC, M&M gain 1%",Business Today,0.7602390199899673
2021-08-23 07:00:00+00:00,"Markets close in green; Sensex gains 226 points & Nifty ends at 16,496.45",The Hans India,0.7372106984257698
2021-08-16 07:00:00+00:00,"Markets rallies for 3rd day; Sensex rose 145 points & Nifty closed at 16,563.05",The Hans India,0.8470445573329926
2021-10-08 07:00:00+00:00,"Mahindra XUV 700 gets 25,000 bookings in 57 minutes, equaling 6-mth output",Business Standard,0.8581439591944218
2021-11-10 08:00:00+00:00,Mahindra Logistics acquires Meru Cabs from Mahindra & Mahindra,Business Standard,0.10848394595086575
2021-08-27 07:00:00+00:00,"Sensex, Nifty close at record highs; metal, capital goods stocks top gainers",Business Today,0.8981014583259821
2021-07-20 07:00:00+00:00,Swiggy's plan beyond food delivery,The Economic Times,0.06929017137736082
2021-09-01 07:00:00+00:00,"Sensex tumbles 581 pts from record peak, ends 214 pts down; Nifty holds 17K",Business Standard,-0.9599839579313993
2021-10-25 07:00:00+00:00,Mars Wrigley Launches India’s First M&M’s® Experience Arena,Global Prime News,0.2825478734448552
2021-07-28 07:00:00+00:00,July 28: Top Gainers & Losers on Nifty 50,The Hans India,-0.09998658299446106
2021-11-02 07:00:00+00:00,"Shah Rukh Khan Turns 56: From Bugatti Veyron To BMW i8, A Look At Actor's Luxe Car Collection",The Economic Times,0.04253661073744297
2021-09-09 07:00:00+00:00,Deputy Prime Minister - Taliban's new government: All you need to know about Afghanistan's leaders,The Economic Times,0.01740214414894581
2022-06-28 07:00:00+00:00,Will Scorpio-N launch push M&M stock higher by 25%?,Business Today,0.9259859696030617
2022-06-01 11:00:00+00:00,Why M&M Share Price is Rising,Equitymaster,-0.05253487825393677
2022-04-07 07:00:00+00:00,Mahindra Motors Vs Tata Motors – Which Stock To Drive Into Your Portfolio?,Trade Brains,0.01588248647749424
2022-06-28 07:00:00+00:00,"Mahindra Scorpio N launch a 'blockbuster': Brokerage bullish on M&M shares, raises target price",Mint,0.13601401448249817
2022-05-31 07:00:00+00:00,M&M Share Price Hits Rs 1000-mark for First Time; Further Gains Expected; Should you Buy?,News18,0.8259945642203093
2022-05-30 07:00:00+00:00,"Mahindra & Mahindra (M&M) Limited share price on Monday gained as much as 3.65 percent to Rs 988, touching a n",CNBC TV18,0.9206258300691843
2022-03-29 07:00:00+00:00,Trade setup for today: Top 15 things to know before the opening bell,Moneycontrol,-0.010384202003479004
2022-03-04 08:00:00+00:00,"Sensex extends fall for 3rd day, closes 769 pts lower; Titan, Maruti, M&M lead",Fortune India,-0.9452805910259485
2022-04-01 07:00:00+00:00,"In a first by company, M&M’s 4 Thar NFTs fetch Rs 26 lakh in auction",The Times of India,0.5527842584997416
2022-06-28 07:00:00+00:00,"Sensex ends flat amid volatility, Nifty holds 15,850; M&M gains, Titan drags",Mint,-0.08641433715820312
2022-05-30 07:00:00+00:00,M&M Share Price Races to 52-Week High As Q4 Revenue Beats Estimates; Should you Buy?,News18,0.6512398794293404
2022-05-30 07:00:00+00:00,"Worst of supply constraints behind us, expect strong growth, says M&M's Rajesh Jejurikar",Moneycontrol,0.921054545789957
2022-06-28 07:00:00+00:00,Mahindra Scorpio gets a makeover as Scorpio-N; prices begin at Rs 12 lakh,The Times of India,0.23009570129215717
2022-06-23 07:00:00+00:00,"Sensex rises 443 pts, Nifty ends above 15,550; Maruti, M&M shine, RIL sinks",Mint,0.8013706728816032
2022-05-31 07:00:00+00:00,"Sensex drops 359 pts, Nifty ends below 16,600; M&M shines, LIC, Kotak Bank slip",Mint,-0.8444801792502403
2022-06-24 07:00:00+00:00,"Sensex rises 462 pts, Nifty ends near 15,700; M&M shines, Infosys, TechM sink",Mint,0.8609920963644981
2022-01-12 08:00:00+00:00,"Market Close: Sensex soars 533 pts; Nifty above 18,200; M&M, Airtel top gainers",Mint,0.9049047660082579
2022-04-21 07:00:00+00:00,"Sensex surges 874 pts, Nifty ends near 17,400; RIL hits record high, M&M shines",Mint,0.8617247901856899
2022-03-31 07:00:00+00:00,"Sensex tumbles 115 pts, Nifty ends below 17,500 in choppy trade; M&M, HUL shine",Mint,-0.9008621089160442
2022-02-28 08:00:00+00:00,"Mahindra to invest ₹3,000 crore for EV push over next three years",Mint,0.43746947403997183
2022-06-28 07:00:00+00:00,BSE Sensex and NSE Nifty LIVE news updates,CNBC TV18,0.006154203787446022
2022-06-28 07:00:00+00:00,"Closing Bell: Market ends flat amid volatility; oil & gas, metal, auto outshine",Moneycontrol,-0.5589803457260132
2022-03-04 08:00:00+00:00,M&M signs pact with IIT Madras-incubated entity to launch campers in India,The Economic Times,0.9135804707184434
2022-04-11 07:00:00+00:00,Daily Stock Market News Snippets- 11 April 20,Invest Yadnya,-0.04007144272327423
2022-05-30 07:00:00+00:00,"RIL, IT stocks propel Sensex 1,041 pts up; Nifty tops 16,650; Ethos dips 9%",Business Standard,-0.41087478399276733
2022-02-24 08:00:00+00:00,Investors lose Rs 13 lakh crore in market crash: Here's a look at top losers today,Business Today,-0.577256977558136
2022-04-22 07:00:00+00:00,"Sensex tanks 715 pts, Nifty ends below 17,200; HUL, SBI top losers, banks bleed",Mint,-0.5150135457515717
2022-06-28 07:00:00+00:00,"Sensex, Nifty end flat after volatile session; metal, energy stocks shine",Business Standard,-0.07521606981754303
2022-06-01 07:00:00+00:00,Power Breakfast: Treasury Secretary Janet Yellen Admits She Was ‘Wrong’ About Inflation Threat,Zee Business,-0.603781521320343
2022-01-17 08:00:00+00:00,"Tech Mahindra acquires 100% stake in European firm CTC for Rs 2,600 cr",Business Standard,0.07869473099708557
2022-03-17 07:00:00+00:00,Mahindra & Mahindra to increase stake in Carnot Tech with ₹14 crore investment,Mint,0.8979705199599266
2022-02-24 08:00:00+00:00,"Market HIGHLIGHTS: Sensex ends 2702 pts lower amid D-St Bloodbath, Nifty ends at 16247, Russia attacks Ukraine",The Financial Express,-0.9340943321585655
2022-04-25 07:00:00+00:00,"Sensex tanks 617 pts, Nifty ends below 17,000; Metals, IT, FMCG, realty bleed",Mint,-0.0010683462023735046
2022-01-24 08:00:00+00:00,"Sensex, Nifty at day's low; India VIX spurts 12%",Business Standard,0.7646952718496323
2022-05-16 07:00:00+00:00,"Sensex snaps 6-day losing run, ends 180 pts up; DMart rallies 10%, ACC 4%",Business Standard,0.584174171090126
2022-04-21 07:00:00+00:00,"Sensex zooms 874pts in broad-based rally; Nifty tops 17350; RIL, HDFC up 2%",Business Standard,0.9115011338144541
2022-01-24 08:00:00+00:00,M&M characters are getting an ‘inclusive’ rebrand; netizens are not impressed,The Indian Express,0.17725527193397284
2022-11-24 08:00:00+00:00,Shares of M&M Ltd Soars 1.19%,Equitypandit,0.4541964530944824
2022-10-27 07:00:00+00:00,"Group stocks like Adani, Mahindra stood out this year; IT, real estate top drags: Udayan Mukherjee",Business Today,0.09755914937704802
2022-09-08 07:00:00+00:00,M&M overtakes Tata Motors to become 2nd most valued auto company,Fortune India,0.8490562215447426
2022-07-08 07:00:00+00:00,"M&M EV funding plan LIVE Updates: We are confident to take leadership in Indian EV space, says CEO Anish Shah",Moneycontrol,0.9187124911695719
2022-11-17 08:00:00+00:00,"Sensex ends at 61,750, Nifty down 65 pts; Titan, M&M lag; Tata Consumer shines",Mint,-0.9343623258173466
2022-08-16 07:00:00+00:00,Mahindra share prices zoom after 5 new EV launch curtain-raiser,dailyo.in,0.7926054522395134
2022-08-08 07:00:00+00:00,"Sensex Zooms 465 Points, Nifty Ends Above 17,500; M&M, Coal India and Bajaj Finserv Top Gainers",Equitymaster,0.8803781848400831
2022-08-02 07:00:00+00:00,"Closing Bell: Sensex extends gains to 4th day, ends 545 pts higher; Nifty tops 17,300; Tata Motors rallie...",The Economic Times,0.8914774619042873
2022-12-02 08:00:00+00:00,"Taking Stock | Market takes a breather after rising for 8 days; Sensex slips 415 pts, Nifty below 18,700",TradingView,-0.9149662125855684
2022-09-21 07:00:00+00:00,"Swaraj Engines, Kirloskar Industries shares hit new 52-week highs, M&M surges nearly 5% intraday – key factors driving rally",Zee Business,0.8833968043327332
2022-10-04 07:00:00+00:00,M&M Financial shares surge as financier's business update sends a strong signal to Street,CNBC TV18,0.9186935145407915
2022-09-20 07:00:00+00:00,M&M to acquire Swaraj Engines' 17.41% stake from Kirloskar Industries,Business Standard,0.05147265084087849
2022-10-03 07:00:00+00:00,Tata Motors vs Maruti vs M&M: Which stock should you buy this festive season?,Business Today,0.03592568449676037
2022-09-21 07:00:00+00:00,Swaraj Engines shares hit 52-week high as Mahindra & Mahindra to buy additional stake,Mint,0.8814443163573742
2022-09-21 07:00:00+00:00,Swaraj Engines revs up on M&M's plans to morph company into subsidiary,Moneycontrol,0.87369454652071
2022-10-14 07:00:00+00:00,Top 5 Stocks Mutual Funds Bought and Sold in September 2022,Equitymaster,-0.002614060416817665
2022-09-27 07:00:00+00:00,M&M sells 2.17% stake in Mahindra CIE Automotive at Rs 285 per share,CNBC TV18,0.020163660869002342
2022-08-08 07:00:00+00:00,"Sensex adds 465 pts, Nifty ends above 17,500; Coal India, M&M shine",Mint,0.6770647186785936
2022-09-23 07:00:00+00:00,Mahindra Finance shares crack over 14% after RBI order; M&M down 3%,Business Today,-0.9580586813390255
2022-08-01 07:00:00+00:00,M&M’s Scorpio-N sees robust demand; shares top Nifty gainers,Mint,0.9261577893048525
2022-10-27 07:00:00+00:00,M&M Partners with Charge+Zone to Set up EV Charging Infrastructure,Equitypandit,0.48401444870978594
2022-10-04 07:00:00+00:00,M&M Finance soars 10% as asset quality improves in September quarter,Business Standard,0.9188373927026987
2022-09-21 07:00:00+00:00,M&M To Acquire Swaraj Engines From Kirloskar Industries In Rs 300-Crore Deal,NDTV Profit,0.40089776646345854
2022-11-10 08:00:00+00:00,Mahindra & Mahindra to sell controlling stake in Peugeot Motocycles to European Private Equity major Mutares,Autocar Professional,0.02148802950978279
2022-09-22 07:00:00+00:00,Kirloskar Ind says will divest its 17.4% stake in Swaraj Engines to M&M,Moneycontrol,-0.027091972529888153
2022-11-24 08:00:00+00:00,LIC increases its stake in Mahindra and Mahindra Finance over the last 18 months,CNBC TV18,0.9290895899757743
2022-09-21 07:00:00+00:00,Swaraj Engines shares gain most in over two years after becoming M&M subsidiary,CNBC TV18,0.8061942998319864
2022-12-14 08:00:00+00:00,"M&M approves Rs 10,000-crore outlay to boost EV manufacturing goal",Moneycontrol,0.9230874935165048
2022-12-14 14:48:00+00:00,Street awaits FED delivery,Upstox,-0.045040979981422424
2022-09-19 07:00:00+00:00,Stock Market Highlights: What signals Hammer-like candle on Nifty is sending for next trade,The Economic Times,0.0022130869328975677
