date,headline,source,sentiment
2020-03-27 07:00:00+00:00,Indian stocks see volatile trading after the central bank cuts rates to 'mitigate' coronavirus impact,CNBC,-0.8882686011493206
2020-03-27 07:00:00+00:00,"India Cuts Rate, Unleashes $50 Billion Stimulus In Virus Fight",Bloomberg,-0.22436533868312836
2020-01-13 08:00:00+00:00,India’s economy: how the world’s fastest growing nation went off the rails,The Conversation,0.07895273715257645
2020-01-23 08:00:00+00:00,Pushing through India’s economic slowdown,East Asia Forum,0.027457892894744873
2020-05-29 22:14:00+00:00,Spotlight on India: Growing Economies Through Gender Parity,Council on Foreign Relations,0.6619840068742633
2020-05-22 07:00:00+00:00,"RBI cuts repo rate again, down to 4%",The Hindu,-0.918972815386951
2020-03-22 07:00:00+00:00,The Foundations of India’s Economic Recovery Are in Place,marcellus.in,0.43813110515475273
2020-03-27 07:00:00+00:00,"Responding to coronavirus crisis, RBI slashes rates",The Economic Times,-0.9313626922667027
2020-03-28 07:00:00+00:00,"RBI cuts rate by 75 bps, steepest in over 10 years; you can defer EMIs by 3 months",The Times of India,0.26158809661865234
2020-04-08 07:00:00+00:00,India’s lockdown will further impact its already-slowing economy,The Caravan,-0.9526501409709454
2020-06-26 07:00:00+00:00,"For India, economic growth is no substitute for Grand Strategy",orfonline.org,0.05904451571404934
2020-05-06 07:00:00+00:00,Coronavirus lockdown: India jobless numbers cross 120 million in April,BBC,-0.9502147063612938
2020-05-22 07:00:00+00:00,RBI Cuts Rates to Lowest Ever and Shifts Focus to Economy,Capitalmind,-0.75820417329669
2020-05-13 07:00:00+00:00,Covid-19: Lockdown upset Modi’s plans for Indian economy,GIS Reports,-0.9464350249618292
2020-01-16 08:00:00+00:00,Gig Economy – Shaping the Future of Work,Invest India,0.17067010328173637
2020-03-27 07:00:00+00:00,RBI's 4.4% repo rate lowest ever; here's a look at the historical benchmark rates,CNBC TV18,-0.6381654497236013
2020-05-22 07:00:00+00:00,India Central Bank Pledges More Easing as Economy Set to Shrink,Bloomberg,0.8231539838016033
